data,addAuthorized,removeAuthorized,registerOrder,addAuthorized,addOrder,transferOwnership,addProduct,deleteProduct,modifyProduct,addAuthorized,addProduct,deleteProduct,setHashFunction,setHashSize,setLatestHashIpfs,setNetPrice,setSeller,setVatPercentage,saveAndPayOrder,approve,mintToken,transfer,addBusiness,addCitizen,addUser,getUserType,setEnable,payVat,refundVat,registerVat,addAuthorized,insertVatAndSetState,average
2019-04-27,49125,19650,494525,32750,363525,32750,173575,39300,108075,32750,150650,32750,39300,32750,39300,32750,32750,32750,1470475,45850,52400,65500,104800,108075,91700,26200,29475,104800,114625,85150,32750,75325,131000
2019-04-28,49125,22925,501075,36025,370074,32750,176850,42575,108075,32750,153925,32750,39300,32750,39300,32750,32750,32750,1493399,49125,52400,65500,108075,108075,94975,26200,29475,108075,117900,88425,32750,78600,131000
2019-04-29,49125,22925,501075,36025,370074,32750,176850,42575,108075,32750,153925,32750,39300,32750,39300,32750,32750,32750,1493399,49125,52400,65500,108075,108075,94975,26200,29475,108075,117900,88425,32750,78600,131000
2019-04-30,49125,22925,501075,36025,370074,32750,176850,42575,108075,32750,153925,32750,39300,32750,39300,32750,32750,32750,1493399,49125,52400,65500,108075,108075,94975,26200,29475,108075,117900,88425,32750,78600,131000
2019-05-01,49125,22925,501075,36025,370074,32750,176850,42575,108075,32750,153925,32750,39300,32750,39300,32750,32750,32750,1493399,49125,52400,65500,108075,108075,94975,26200,29475,108075,117900,88425,32750,78600,131000
2019-05-02,49125,22925,517450,36025,373349,32750,180125,42575,111350,36025,157200,32750,39300,32750,39300,32750,32750,32750,1539250,49125,52400,68775,108075,111350,94975,26200,29475,108075,117900,88425,36025,78600,134275
2019-05-03,49125,22925,517450,36025,373349,32750,180125,42575,111350,36025,157200,32750,39300,32750,39300,32750,32750,32750,1539250,49125,52400,68775,108075,111350,94975,26200,29475,108075,117900,88425,36025,78600,134275
2019-05-04,43628,14300,397315,28695,366062,28456,156025,35321,67312,28650,147159,32220,35697,28234,35602,27866,29457,28112,1184255,45419,148876,45775,53083,91970,91758,86840,28496,69739,72169,77065,28651,71639,113307
2019-05-05,43628,14300,397315,28695,366062,28456,156025,35321,67312,28650,147159,32220,35697,28234,35602,27866,29457,28112,1184255,45419,148876,45775,53083,91970,91758,86840,28496,69739,72169,77065,28651,71639,113307
2019-05-06,43628,14300,397315,28695,366062,28456,156025,35321,67312,28650,147159,32220,35697,28234,35602,27866,29457,28112,1184255,45419,148612,45775,53083,91970,91758,86840,28496,69739,72169,77065,28651,71639,113299
2019-05-07,43628,14300,397315,28695,366062,28456,156025,35321,67312,28650,147159,32220,35697,28234,35602,27866,29457,28112,1184255,45419,148612,45775,53083,91970,91758,86840,28496,69739,72169,77065,28651,71639,113299
2019-05-08,43628,14300,397315,28695,366062,28456,156025,35321,67312,28650,147159,32220,35697,28234,35602,27866,29457,28112,1184255,45419,148612,45775,53083,91970,91758,86840,28496,69739,72169,77065,28651,71639,113299
2019-05-09,43628,14300,397315,28695,366062,28456,156025,35321,67312,28650,147159,32220,35697,28234,35602,27866,29457,28112,1184255,45419,148612,45775,53083,91970,91758,86840,28496,69739,72169,77065,28651,71639,113299
